c2757bae4b91a62f57511948b040e3352b673c185571db7ddb4077e7e980c63f  .temp/TASK-260715-gyg51r/TASK-260715-gyg51r_raw-matrix.json
true
MTU	Pressure	Rows	Attempted	Sent	Received	Drops	Send failures	Queue drops	p95 max ns
1500	constrained-buffer	3	1536	1536	34	1502	0	1502	2617541
1500	mixed	3	1536	1536	1536	0	0	0	61500
1500	nominal	3	1536	1536	1536	0	0	0	86375
1500	receiver-stall	3	1536	1536	166	1370	0	1370	31221167
4096	constrained-buffer	3	1536	1536	20	1516	0	1516	3051625
4096	mixed	3	1536	1536	1536	0	0	0	52334
4096	nominal	3	1536	1536	1536	0	0	0	35375
4096	receiver-stall	3	1536	1536	90	1446	0	1446	32946208
8500	constrained-buffer	3	1536	768	34	1502	768	734	2936500
8500	mixed	3	1536	1536	1536	0	0	0	58083
8500	nominal	3	1536	1536	1536	0	0	0	40125
8500	receiver-stall	3	1536	1536	58	1478	0	1478	34024042
